id,degree,community,component
Byklubben,2,1,1
Kontra K,64,2,1
Maxim,8,2,1
Christopher Martin,39,3,1
Jakob Hellman,2,1,1
Madh,8,4,1
Juice,4,1,1
Nehuda,4,5,1
VovaZiLvova,14,6,1
Nata Record,14,7,1
Yomi,7,1,1
Kauniit & Uhkarohkeat,0,8,2
Danny Elfman,54,9,1
Attractions,0,10,3
MaRina,8,11,1
Rockwell,4,12,1
Cosmos Insania,0,13,4
Pálmi Gunnarsson,6,14,1
GeeSixFive,0,15,5
Suur Papa,8,16,1
Vybz Kartel,180,3,1
CAMO,3,17,1
Apocalyptica,42,9,1
Dua Lipa,136,18,1
Akky,0,19,6
Stefanie Sun,18,20,1
Twins,3,20,1
Aspova,31,21,1
Artistic Raw,53,22,1
Angela Ken,22,23,1
Labanoon,3,24,1
João Gomes,9,25,1
Khea,0,26,7
Daniela Reyes,2,1,1
Benny The Butcher,94,18,1
Sharmoofers,6,27,1
Ray Dalton,11,2,1
Orange & Lemons,1,28,8
D1NO,0,29,9
Pep & Rash,24,18,1
B10,4,7,1
APO Hiking Society,14,30,10
Cristian Castro,56,7,1
Alika,0,31,11
Nobuo Uematsu,50,9,1
Kiana Ledé,45,18,1
Nick Lopez,6,18,1
SAMSONS,1,23,1
Total Ape,15,18,1
DON EAZY,2,17,1
Ez Mil,3,32,12
Sitti,4,23,1
Los Pikantes,8,7,1
Eliza Rose,5,3,1
Loren Allred,6,33,1
Darío Gómez,19,7,1
JEON SOYEON,11,34,1
Faul,6,18,1
Bruno & Barretto,20,25,1
Clayton & Romário,28,25,1
Janne Koivunen,0,35,13
Grailz Beni,2,36,14
Cakra Khan,3,23,1
Trey Lewis,3,33,1
Antti Ketonen,1,37,1
Danni,5,17,1
Alex Ubago,30,7,1
Jülevenner,18,14,1
Apollon,0,38,15
Innertier,7,1,1
Fractures,13,3,1
OG Ulla-Maija,3,37,1
Pekka Ruuska,6,37,1
Colde,12,34,1
Rasster,61,39,1
Kobi Peretz,17,40,1
Powderfinger,0,41,16
DJ Travesura,12,42,1
Leila AD,2,43,1
Jonzmen,0,44,17
Phoebe Ryan,21,18,1
Sonoko Inoue,2,45,1
ЛЯЛЬКА,6,6,1
Mente Fuerte,42,46,1
LA Vision,7,47,1
Fuego,101,7,1
The Rudeboyz,31,7,1
Martin Stenmarck,2,1,1
MKTO,8,18,1
José Madero,5,7,1
Lauana Prado,33,25,1
Lege-Cy,2,27,1
Nanà ,0,48,18
黄霄雲,7,18,1
Sherol Dos Santos,0,49,19
TAEW,2,24,1
SACHI,19,18,1
Ruben Annink,9,22,1
Kuningasidea,1,37,1
A Banca Records,70,25,1
Mokke,6,1,1
Cooper Alan,9,33,1
YooA,0,50,20
Linus S,0,51,21
Kamerzysta,3,11,1
Herbert Grönemeyer,29,2,1
Kpri,6,43,1
Gyakie,13,3,1
Sherman Chung,7,20,1
Kartky,58,11,1
RPG,18,20,1
Wren Evans,4,52,1
Marty McKay,11,53,1
Cravata,6,43,1
Jolyon Petch,137,39,1
Joe Stone,69,18,1
Benedixhion,17,14,1
SIDARTA,7,46,1
G22,6,20,1
Protoje,40,3,1
Frank Løke,1,54,22
SPACESPEAKERS,6,52,1
Sphera,15,55,23
Herra Ylppö,19,37,1
9MUSES,0,56,24
La Vida Moderna,1,57,25
ปรีชา ปัดภัย,2,58,26
Lars-Erik Larsson,42,9,1
Devano,3,23,1
Thodoris Ferris,2,46,1
Ghea Indrawari,3,23,1
Mc Anônimo,54,25,1
Andre Hazes,31,22,1
ACE COLLECTION,0,59,27
Samuel Kim,15,12,1
Trifecta,7,60,1
Cassandra,0,61,28
Kygo,101,18,1
Fulo El Yeyo,37,7,1
Attaque 77,5,2,1
Agnes,36,1,1
ConfidentialMX,0,62,29
Ronnie Hussein,0,63,30
El Villano,45,7,1
Orgânico,79,25,1
BIG Naughty,38,34,1
Lim Young Woong,0,64,31
U Sung Eun,15,34,1
Ocean Park Standoff,7,18,1
AURORA,26,3,1
Ehab Tawfik,8,43,1
Spoky1911,0,65,32
Pyrex,13,4,1
Hala Al Turk,2,27,1
MC Ysa,28,25,1
Kjartan Lauritzen,16,1,1
Kaho Hung,2,20,1
Gimpson,0,66,33
Pimeys,0,67,34
Fynn Jamal,3,23,1
Diego Boneta,1,68,35
starclouds,0,69,36
25 hours,2,24,1
Abdul Majeed Abdullah,17,27,1
Moreno,20,4,1
Die Ärzte,2,2,1
HIRAIDAI,5,45,1
SyKo,10,34,1
Rino Gaetano,12,9,1
R-chord,28,20,1
Indila,5,43,1
John Denver,5,9,1
Imran Khan,16,70,1
Guizmo,30,43,1
16 Typh,16,52,1
Xiao Qiu,1,20,1
Ylona,4,60,1
Ameen Khattab,49,27,1
Alex Kunnari,40,60,1
Röyksopp,65,3,1
Epik High,103,34,1
Ida Corr,90,17,1
Sezen Aksu,48,21,1
6licium,0,71,37
Samuel Jack,8,39,1
Nino Freestyle,88,7,1
Myra Granberg,8,1,1
Maciej Musiałowski,1,11,1
Jaylann,4,43,1
Punch,18,34,1
Pede B,83,17,1
Arrow,1,72,38
Jeff,0,73,39
IT’S,7,34,1
gazzzy,1,74,40
URBOYTJ,29,24,1
Jens Book-Jenssen,9,75,41
Trunks,35,25,1
Julio Bashmore,9,76,1
Kandráčovci,4,77,1
นนน กรภัทร์,0,78,42
Beast In Black,0,79,43
Emanero,26,7,1
The Wombats,32,18,1
Sestā Jūdze,0,80,44
Simeon,12,1,1
Matoma,130,18,1
H16,45,77,1
Olivia Eliasson,0,81,45
Sir Mich,77,11,1
Kate Miller-Heidke,27,82,1
Valentino,29,7,1
Zeeba,38,25,1
ROS,0,83,46
Christmas Zero,0,84,47
Lukr,5,14,1
Aida gean,0,85,48
Zayed Al Saleh,13,27,1
Manal,11,43,1
Kaja Rode,2,1,1
HyunA,24,34,1
The Tragically Hip,1,86,49
13 Block,26,43,1
Vojtaano,5,87,50
Mew Suppasit,6,34,1
Alligatoah,31,2,1
Paul Kim,15,34,1
Murilo Huff,14,25,1
Official HIGE DANdism,1,88,51
Sevz,28,1,1
Miguel,76,18,1
Ingrid Michaelson,27,18,1
Jauz,102,18,1
Olexesh,111,2,1
Tinashe,81,18,1
Scorpions,5,2,1
Euroo,7,1,1
Hans Entertainment,1,89,52
Thomas Gold,160,18,1
Feby Putri,3,23,1
Winterland Big Band,0,90,53
Doris 68,0,91,54
Cardi B,79,18,1
Badoxa,6,76,1
Sa4,29,2,1
POL1Z1STENS0HN a.k.a. Jan Böhmermann,1,92,55
Circle 9,0,93,56
Dubbo,8,94,1
Isaiah Firebrace,11,43,1
Common,100,18,1
Dragana Kosic,0,95,57
YONII,32,2,1
"Car, the garden",16,34,1
Rancore,15,4,1
HammAli,3,6,1
Krozz,3,77,1
Kim Chiu,2,23,1
Tur-G,31,22,1
Boulevard des Airs,19,43,1
KsFreakWhatElse,2,96,58
Cheat Codes,163,18,1
Tornike Kipiani,0,97,59
Sebastian Ingrosso,50,18,1
Berg,32,60,1
CL,11,34,1
Alain Clark,17,22,1
Gio,18,17,1
Klikkmonopolet,10,1,1
Nanpa Básico,51,7,1
Kush Lmes,0,98,60
Vicky Singh,0,99,61
Mammút,0,100,62
Maria Gadú,42,25,1
Lil Baby,149,18,1
Miniminter,4,101,63
Marco Carta,1,18,1
Greifarnir,1,102,64
Lin Hsin Yi,0,103,65
Della,14,20,1
Nahaze,6,4,1
Camila Cabello,42,18,1
Shaggy,226,33,1
Los Flamers,16,104,1
The Cinematic Orchestra,36,82,1
Italian Somali,49,7,1
KEVVO,85,7,1
flowerboii,3,2,1
Dante Spinetta,6,7,1
Yamkee Productions,0,105,66
Katie Melua,18,18,1
ACTART,2,24,1
Canking,1,106,67
Dev Negi,52,70,1
Pascal Letoublon,11,4,1
Prinssi Jusuf,12,37,1
Deepend,88,18,1
Ex Rated Lover,2,107,68
Diego & Victor Hugo,39,25,1
Vallis Alps,2,18,1
Likybo,13,108,1
